movieId,title,genres,imdbId,tmdbId,budget,genres_y,original_language,original_title,overview,popularity,release_date,revenue,runtime,vote_average,vote_count,poster_path
1234,"Sting, The (1973)",Comedy|Crime,70735,9277.0,5500000,"['Comedy', 'Crime', 'Drama']",en,The Sting,Set in the 1930's this intricate caper deals with an ambitious small-time crook and a veteran con man who seek revenge on a vicious crime lord who murdered one of their gang.,28.500913,1973-12-25,159616327,129.0,7.9,622,
1263,"Deer Hunter, The (1978)",Drama|War,77416,11778.0,15000000,"['Drama', 'War']",en,The Deer Hunter,"A group of working-class friends decides to enlist in the Army during the Vietnam War and finds it to be hellish chaos -- not the noble venture they imagined. Before they left, Steven married his pregnant girlfriend -- and Michael and Nick were in love with the same woman. But all three are different men upon their return.",19.786392,1978-12-08,50000000,183.0,7.8,921,
1346,Cat People (1982),Drama|Fantasy|Horror,83722,6217.0,0,"['Drama', 'Fantasy', 'Horror', 'Thriller']",en,Cat People,"After years of separation, Irina (Nastassja Kinski) and her minister brother, Paul (Malcolm McDowell), reunite in New Orleans in this erotic tale of the supernatural. When zoologists capture a wild panther, Irina is drawn to the cat -- and the zoo curator (John Heard) is drawn to her. Soon, Irina's brother will have to reveal the family secret: that when sexually aroused, they turn into predatory jungle cats.",5.69872,1982-04-02,0,118.0,6.0,94,
1442,Prefontaine (1997),Drama,119937,26306.0,8000000,"['Drama', 'Romance']",en,Prefontaine,"It's the true-life story of legendary track star Steve Prefontaine, the exciting and sometimes controversial ""James Dean of Track,"" whose spirit captured the heart of the nation! Cocky, charismatic, and tough, ""Pre"" was a running rebel who defied rules, pushed limits ... and smashed records ...",8.717235,1997-01-24,589304,106.0,6.7,21,
1479,"Saint, The (1997)",Action|Romance|Sci-Fi|Thriller,120053,10003.0,68000000,"['Thriller', 'Action', 'Romance', 'Science Fiction', 'Adventure']",en,The Saint,"Ivan Tretiak, Russian Mafia boss who wants to create an oil crisis in Moscow and seize power as a result sends Simon Templar, great international criminal, to England to get a secret formula for cold fusion from U.S. scientist Emma Russell. Templar falls in love with Emma and they try to outwit Tretiak and his guerrillas, hiding from them in Moscow",20.913852,1997-04-03,118063304,116.0,5.9,302,
1500,Grosse Pointe Blank (1997),Comedy|Crime|Romance,119229,9434.0,0,"['Action', 'Comedy', 'Thriller', 'Romance']",en,Grosse Pointe Blank,"Martin Blank is a freelance hitman who starts to develop a conscience, which causes him to muff a couple of routine assignments. On the advice of his secretary and his psychiatrist, he attends his 10th year High School reunion in Grosse Pointe, Michigan.",13.817269,1997-04-11,28084357,107.0,6.9,275,
1679,Chairman of the Board (1998),Comedy,118836,31535.0,0,['Comedy'],en,Chairman of the Board,A surfer becomes the head of a major company.,0.587276,1998-03-13,0,95.0,2.7,13,
1690,Alien: Resurrection (1997),Action|Horror|Sci-Fi,118583,8078.0,70000000,"['Science Fiction', 'Horror', 'Action']",en,Alien: Resurrection,"Two hundred years after Lt. Ripley died, a group of scientists clone her, hoping to breed the ultimate weapon. But the new Ripley is full of surprises … as are the new aliens. Ripley must team with a band of smugglers to keep the creatures from reaching Earth.",37.44963,1997-11-12,162000000,109.0,5.9,1365,
1833,Mercury Rising (1998),Action|Drama|Thriller,120749,8838.0,60000000,"['Action', 'Crime', 'Drama', 'Thriller']",en,Mercury Rising,"Renegade FBI agent Art Jeffries protects a nine-year-old autistic boy who has cracked the government's new ""unbreakable"" code.",18.877795,1998-04-03,0,111.0,6.0,368,
1894,Six Days Seven Nights (1998),Adventure|Comedy|Romance,120828,6068.0,70000000,"['Action', 'Adventure', 'Comedy', 'Romance']",en,Six Days Seven Nights,"When Quinn, a grouchy pilot living the good life in the South Pacific, agrees to transfer a savvy fashion editor, Robin, to Tahiti, he ends up stranded on a deserted island with her after their plane crashes. The pair avoid each other at first, until they're forced to team up to escape from the island -- and some pirates who want their heads.",18.264635,1998-06-12,164000000,98.0,5.6,332,
1939,"Best Years of Our Lives, The (1946)",Drama|War,36868,887.0,2100000,"['Drama', 'History', 'Romance']",en,The Best Years of Our Lives,"It's the hope that sustains the spirit of every GI: the dream of the day when he will finally return home. For three WWII veterans, the day has arrived. But for each man, the dream is about to become a nightmare. Captain Fred Derry is returning to a loveless marriage; Sergeant Al Stephenson is a stranger to a family that's grown up without him; and young sailor Homer Parrish is tormented by the loss of his hands. Can these three men find the courage to rebuild their world? Or are the best years of their lives a thing of the past?",8.38717,1946-12-25,23650000,172.0,7.6,143,
1957,Chariots of Fire (1981),Drama,82158,9443.0,5500000,"['Drama', 'History']",en,Chariots of Fire,The true story of British athletes preparing for and competing in the 1924 Summer Olympics.,10.439971,1981-05-15,58972904,123.0,6.8,207,
2100,Splash (1984),Comedy|Fantasy|Romance,88161,2619.0,8000000,"['Comedy', 'Fantasy', 'Romance']",en,Splash,"A successful businessman falls in love with the girl of his dreams. There's one big complication though; he's fallen hook, line and sinker for a mermaid.",21.735068,1984-03-09,69821334,111.0,6.1,321,
2161,"NeverEnding Story, The (1984)",Adventure|Children|Fantasy,88323,34584.0,27000000,"['Drama', 'Family', 'Fantasy', 'Adventure']",en,The Neverending Story,"While hiding from bullies in his school's attic, a young boy discovers the extraordinary land of Fantasia, through a magical book called The Neverending Story. The book tells the tale of Atreyu, a young warrior who, with the help of a luck dragon named Falkor, must save Fantasia from the destruction of The Nothing.",47.862016,1984-04-05,20158808,102.0,7.0,1002,
2268,"Few Good Men, A (1992)",Crime|Drama|Thriller,104257,881.0,40000000,['Drama'],en,A Few Good Men,"When cocky military lawyer Lt. Daniel Kaffee and his co-counsel, Lt. Cmdr. JoAnne Galloway, are assigned to a murder case, they uncover a hazing ritual that could implicate high-ranking officials such as shady Col. Nathan Jessep.",40.379966,1992-12-11,243240178,138.0,7.1,877,
2331,Living Out Loud (1998),Comedy|Drama|Romance,120722,46889.0,12000000,"['Comedy', 'Drama', 'Romance']",en,Living Out Loud,"Dramatic comedy about two unlikely people who find each other while looking for love. Judith Nelson (Holly Hunter) is suddenly single after discovering her husband of fifteen years, a successful doctor (Martin Donovan), has been having an affair with a younger woman. Judith stews, plans, plots and fantasizes, but she can't decide what to do with her life until she goes out to a night club to see singer Liz Bailey (Queen Latifah), who is full of advice on life and love. While out on the town, Judith is suddenly kissed by a total stranger, which opens her eyes to new possibilities ... which is when she notices Pat (Danny De Vito), the elevator operator in her building.",0.700792,1998-10-30,12902790,100.0,5.3,11,
2333,Gods and Monsters (1998),Drama,120684,3033.0,10000000,['Drama'],en,Gods and Monsters,"It's 1957, and Whale's heyday as the director of ""Frankenstein,"" ""Bride of Frankenstein"" and ""The Invisible Man"" is long behind him. Retired and a semi-recluse, he lives his days accompanied only by images from his past. When his dour housekeeper, Hannah, hires a handsome young gardener, the flamboyant director and simple yard man develop an unlikely friendship, which will change them forever.",5.588652,1998-01-21,6451628,105.0,6.8,81,
2391,"Simple Plan, A (1998)",Crime|Drama|Thriller,120324,10223.0,0,"['Drama', 'Crime', 'Thriller']",en,A Simple Plan,"Captivated by the lure of sudden wealth, the quiet rural lives of two brothers erupt into conflicts of greed, paranoia and distrust when over $4 million in cash is discovered at the remote site of a downed small airplane. Their simple plan to retain the money while avoiding detection opens a Pandora's box when the fear of getting caught triggers panicked behavior and leads to virulent consequences",10.178917,1998-12-11,0,121.0,6.9,187,
2433,"Civil Action, A (1998)",Drama,120633,9422.0,70000000,['Drama'],en,A Civil Action,"Jan Schlickmann is a cynical lawyer who goes out to ""get rid of"" a case, only to find out it is potentially worth millions. The case becomes his obsession, to the extent that he is willing to give up everything - including his career and his clients' goals, in order to continue the case against all odds.",10.147321,1998-03-05,56702901,115.0,6.1,109,
2469,Peggy Sue Got Married (1986),Comedy|Drama,91738,10013.0,18000000,"['Comedy', 'Drama', 'Fantasy', 'Romance']",en,Peggy Sue Got Married,"Peggy Sue faints at a Highschool reunion. When she wakes up she finds herself in her own past, just before she finished school.",12.243887,1986-10-05,41382841,103.0,5.9,136,
2502,Office Space (1999),Comedy|Crime,151804,1542.0,10000000,"['Comedy', 'Crime']",en,Office Space,Three office workers strike back at their evil employers by hatching a hapless attempt to embezzle money.,18.366362,1999-02-19,12827813,89.0,7.4,1050,
2570,"Walk on the Moon, A (1999)",Drama|Romance,120613,28029.0,14000000,"['Drama', 'Romance']",en,A Walk on the Moon,The world of a young housewife is turned upside down when she has an affair with a free-spirited blouse salesman.,6.370267,1999-01-29,0,107.0,6.2,21,
2600,eXistenZ (1999),Action|Sci-Fi|Thriller,120907,1946.0,15000000,"['Action', 'Thriller', 'Science Fiction', 'Horror']",en,eXistenZ,A game designer on the run from assassins must play her latest virtual reality creation with a marketing trainee to determine if the game has been damaged.,21.928025,1999-04-14,2856712,97.0,6.7,475,
2725,Twin Falls Idaho (1999),Drama,162830,33430.0,0,"['Drama', 'Romance']",en,Twin Falls Idaho,"Francis and Blake Falls are Siamese twins who live in a neat little room in a rundown hotel. While sharing some organs, Blake is always fit and Francis is very sickly. Into their world comes a young lady, who turns their world upside down. She gets involved with Blake, and convinces the two to attend a Halloween party, where they can pass themselves off as wearing a costume. Eventually Francis becomes really ill, and they have to be separated. They then face the physical and mental strains that come from their proposed separation.",0.619136,1999-07-30,0,111.0,7.0,11,
2763,"Thomas Crown Affair, The (1999)",Action|Mystery,155267,913.0,48000000,"['Drama', 'Crime', 'Romance']",en,The Thomas Crown Affair,"A very rich and successful playboy amuses himself by stealing artwork, but may have met his match in a seductive detective.",18.102572,1999-08-06,124305181,113.0,6.6,339,
2791,Airplane! (1980),Comedy,80339,813.0,3500000,['Comedy'],en,Airplane!,"Alcoholic pilot, Ted Striker has developed a fear of flying due to wartime trauma, but nevertheless boards a passenger jet in an attempt to woo back his stewardess girlfriend. Food poisoning decimates the passengers and crew, leaving it up to Striker to land the plane with the help of a glue-sniffing air traffic controller and Striker's vengeful former Air Force captain, who must both talk him down.",46.116885,1980-07-02,83453539,88.0,7.1,1074,
2939,Niagara (1953),Drama|Thriller,46126,19997.0,1250000,"['Crime', 'Drama', 'Thriller']",en,Niagara,"Rose Loomis and her older, gloomier husband, George, are vacationing at a cabin in Niagara Falls, N.Y. The couple befriend Polly and Ray Cutler, who are honeymooning in the area. Polly begins to suspect that something is amiss between Rose and George, and her suspicions grow when she sees Rose in the arms of another man. While Ray initially thinks Polly is overreacting, things between George and Rose soon take a shockingly dark turn.",9.903992,1953-01-21,8500000,92.0,6.7,79,
2947,Goldfinger (1964),Action|Adventure|Thriller,58150,658.0,2500000,"['Adventure', 'Action', 'Thriller']",en,Goldfinger,"Special agent 007 (Sean Connery) comes face to face with one of the most notorious villains of all time, and now he must outwit and outgun the powerful tycoon to prevent him from cashing in on a devious scheme to raid Fort Knox -- and obliterate the world's economy.",47.812466,1964-09-17,124881062,110.0,7.2,987,
2975,"Best Man, The (1999)",Comedy|Drama,168501,16162.0,9000000,"['Drama', 'Comedy']",en,The Best Man,"Harper, a writer who's about to explode into the mainstream leaves behind his girlfriend Robin and heads to New York City to serve as best man for his friend Lance's wedding. Once there, he reunites with the rest of his college circle.",3.951041,1999-10-22,34573780,120.0,6.8,38,
3156,Bicentennial Man (1999),Drama|Romance|Sci-Fi,182789,2277.0,100000000,"['Comedy', 'Science Fiction']",en,Bicentennial Man,"Richard Martin buys a gift, a new NDR-114 robot. The product is named Andrew by the youngest of the family's children. ""Bicentennial Man"" follows the life and times of Andrew, a robot purchased as a household appliance programmed to perform menial tasks. As Andrew begins to experience emotions and creative thought, the Martin family soon discovers they don't have an ordinary robot.",24.939295,1999-12-17,93700000,131.0,6.9,963,
3159,Fantasia 2000 (1999),Animation|Children|Musical|IMAX,120910,49948.0,80000000,"['Animation', 'Family', 'Music']",en,Fantasia 2000,"Blending lively music and brilliant animation, this sequel to the original 'Fantasia' restores 'The Sorcerer's Apprentice' and adds seven new shorts.",14.530946,1999-12-17,90874570,74.0,7.0,292,
3186,"Girl, Interrupted (1999)",Drama,172493,3558.0,40000000,['Drama'],en,"Girl, Interrupted","Set in the changing world of the late 1960's, Susanna Kaysen's prescribed ""short rest"" from a psychiatrist she had met only once becomes a strange, unknown journey into Alice's Wonderland, where she struggles with the thin line between normal and crazy. Susanna soon realizes how hard it is to get out once she has been committed, and she ultimately has to choose between the world of people who belong inside or the difficult world of reality outside.",10.713521,1999-12-21,0,127.0,7.6,721,
3253,Wayne's World (1992),Comedy,105793,8872.0,20000000,"['Music', 'Comedy']",en,Wayne's World,"When a sleazy TV exec offers Wayne and Garth a fat contract to tape their late-night public access show at his network, they can't believe their good fortune. But they soon discover the road from basement to big-time is a gnarly one, fraught with danger, temptation and ragin' party opportunities.",21.815122,1992-02-14,121697323,94.0,6.5,728,
3439,Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991),Action|Children|Fantasy,103060,1497.0,25000000,"['Science Fiction', 'Adventure', 'Action', 'Comedy', 'Family']",en,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"The Turtles and the Shredder battle once again, this time for the last cannister of the ooze that created the Turtles, which Shredder wants to create an army of new mutants.",15.505137,1991-03-22,78000000,88.0,5.8,286,
3483,"Road to El Dorado, The (2000)",Animation|Children,138749,10501.0,95000000,"['Adventure', 'Animation', 'Comedy', 'Family']",en,The Road to El Dorado,"After a failed swindle, two con-men end up with a map to El Dorado, the fabled ""city of gold,"" and an unintended trip to the New World.  Much to their surprise, the map does lead the pair to the mythical city, where the startled inhabitants promptly begin to worship them as gods.  The only question is, do they take the worshipful natives for all they're worth, or is there a bit more to El Dorado than riches?",37.054554,2000-03-31,76432727,89.0,7.0,858,
3555,U-571 (2000),Action|Thriller|War,141926,3536.0,62000000,"['Action', 'Drama', 'Thriller', 'War']",en,U-571,"In the midst of World War II, the battle under the sea rages and the Nazis have the upper hand as the Allies are unable to crack their war codes. However, after a wrecked U-boat sends out an SOS signal, the Allies realise this is their chance to seize the 'enigma coding machine'.",18.096884,2000-04-20,127666415,116.0,6.1,340,
3596,Screwed (2000),Comedy,156323,19419.0,0,"['Action', 'Comedy']",en,Screwed,"A chauffeur kidnaps his rich boss's dog to hold it for ransom, but when she accidentally gets the dog back, she thinks that it's the chauffeur who's been kidnapped.",5.359381,2000-05-12,0,81.0,4.9,23,
3624,Shanghai Noon (2000),Action|Adventure|Comedy|Western,184894,8584.0,55000000,"['Adventure', 'Action', 'Comedy', 'Western']",en,Shanghai Noon,"Chon Wang, a clumsy imperial guard trails Princess Pei Pei when she is kidnapped from the Forbidden City and transported to America. Wang follows her captors to Nevada, where he teams up with an unlikely partner, outcast outlaw Roy O'Bannon, and tries to spring the princess from her imprisonment.",25.400935,2000-05-26,56932305,110.0,6.2,735,
3646,Big Momma's House (2000),Comedy,208003,9600.0,30000000,"['Crime', 'Comedy']",en,Big Momma's House,"When a street-smart FBI agent is sent to Georgia to protect a beautiful single mother and her son from an escaped convict, he is forced to impersonate a crass Southern granny known as Big Momma in order to remain incognito.",24.389194,2000-05-31,173959438,98.0,5.6,506,
3754,"Adventures of Rocky and Bullwinkle, The (2000)",Adventure|Animation|Children|Comedy|Fantasy,131704,17711.0,76000000,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",en,The Adventures of Rocky & Bullwinkle,"Rocky and Bullwinkle have been living off the finances made from the reruns of their cartoon show. Boris and Natasha somehow manage to crossover into reality and team up with Fearless Leader, an evil criminal turned media mogul with some evil plans up his sleeve. Rocky and Bullwinkle must stop the three of them before they wreak havoc.",8.981427,2000-06-30,35134820,88.0,3.9,87,
3786,But I'm a Cheerleader (1999),Comedy,179116,20770.0,0,['Comedy'],en,But I'm a Cheerleader,"Megan is an all-American girl. A cheerleader. She has a boyfriend. But Megan doesn't like kissing her boyfriend very much. And she's pretty touchy with her cheerleader friends. Her conservative parents worry that she must be a lesbian and send her off to ""sexual redirection"" school, where she must learn how to be straight.",4.826908,1999-09-12,0,85.0,6.5,101,
3945,Digimon: The Movie (2000),Adventure|Animation|Children,259974,20455.0,5500000,"['Fantasy', 'Animation', 'Science Fiction', 'Family']",en,Digimon: The Movie,"The first story focused on Tai and Kari Kamiya four years before their adventure in the Digital World. It shows their first encounter with Digimon and what happened to them (as well as the other children). Tai and Kari wake one morning to find a Digi-Egg that came out of their computer the night before and the egg soon hatches, revealing a Botamon. The Digimon then evolves into Koromon and then Agumon (not the same one that became friends with Tai in the series, and yet, somehow, both Koromon and Kari remember each other), who then goes out and unintentionally destroys a good part of the neighborhood with Kari riding on his back. A second Digi-Egg appears in the sky to reveal an evil digimon, Parrotmon. Agumon then Digivolves to Greymon but isn't strong enough to beat Parrotmon and is knocked out. Tai grabs Kari's whistle and wakes up Greymon, who defeats Parrotmon and disappears with him.",3.7387,2000-03-17,0,82.0,6.2,72,
3986,"6th Day, The (2000)",Action|Sci-Fi|Thriller,216216,8452.0,82000000,['Science Fiction'],en,The 6th Day,Futuristic action about a man who meets a clone of himself and stumbles into a grand conspiracy about clones taking over the world.,18.447479,2000-11-17,96085477,123.0,5.7,595,
3994,Unbreakable (2000),Drama|Sci-Fi,217869,9741.0,75000000,"['Science Fiction', 'Thriller', 'Drama']",en,Unbreakable,"An ordinary man makes an extraordinary discovery when a train accident leaves his fellow passengers dead – and him unscathed. The answer to this mystery could lie with the mysterious Elijah Price, a man who suffers from a disease that renders his bones as fragile as glass.",42.006908,2000-11-13,248118121,106.0,6.9,1946,
4024,"House of Mirth, The (2000)",Romance,200720,25520.0,10000000,"['Drama', 'Romance']",en,The House of Mirth,A woman risks losing her chance of happiness with the only man she has ever loved.,3.007816,2000-09-23,5164404,140.0,6.4,25,
4031,All the Pretty Horses (2000),Drama|Romance|Western,149624,21355.0,57000000,"['Drama', 'Romance', 'Western']",en,All the Pretty Horses,"The year is 1949. A young Texan named John Grady finds himself without a home after his mother sells the ranch where he has spent his entire life. Lured south of the border by the romance of cowboy life and the promise of a fresh start, Cole and his pal embark on an adventure that will test their resilience, define their maturity, and change their lives forever.",7.524671,2000-12-11,0,117.0,5.8,60,
4190,Elmer Gantry (1960),Drama,53793,22013.0,3000000,['Drama'],en,Elmer Gantry,An ex-football player becomes a popular evangelist in the 1920s Midwest.,6.734965,1960-06-19,10400000,146.0,7.3,41,
4238,Along Came a Spider (2001),Action|Crime|Mystery|Thriller,164334,2043.0,60000000,"['Crime', 'Mystery', 'Thriller', 'Action']",en,Along Came a Spider,"When a teacher kidnaps a girl from a prestigious school, homicide detective, Alex Cross takes the case and teams up with young security agent, Jezzie Flannigan in hope of finding the girl and stopping the brutal psychopath. Every second counts as Alex and Jezzie attempt to track down the kidnapper before the spider claims another victim for its web.",21.252797,2001-04-06,105178561,104.0,6.1,400,
4310,Pearl Harbor (2001),Action|Drama|Romance|War,213149,676.0,140000000,"['History', 'Romance', 'War']",en,Pearl Harbor,"The lifelong friendship between Rafe McCawley and Danny Walker is put to the ultimate test when the two ace fighter pilots become entangled in a love triangle with beautiful Naval nurse Evelyn Johnson. But the rivalry between the friends-turned-foes is immediately put on hold when they find themselves at the center of Japan's devastating attack on Pearl Harbor on Dec. 7, 1941.",34.20669,2001-05-21,449220945,183.0,6.6,1791,
4349,Catch-22 (1970),Comedy|War,65528,10364.0,18000000,"['War', 'Comedy', 'Drama']",en,Catch-22,"A bombardier in World War II tries desperately to escape the insanity of the war. However, sometimes insanity is the only sane way to cope with a crazy situation. Catch-22 is a parody of a ""military mentality"" and of a bureaucratic society in general.",4.504377,1970-06-24,24911670,121.0,6.7,72,
4720,"Others, The (2001)",Drama|Horror|Mystery|Thriller,230600,1933.0,0,"['Horror', 'Drama', 'Mystery', 'Thriller']",en,The Others,"Grace is a religious woman who lives in an old house kept dark because her two children, Anne and Nicholas, have a rare sensitivity to light. When the family begins to suspect the house is haunted, Grace fights to protect her children at any cost in the face of strange events and disturbing visions.",25.881355,2001-08-02,0,101.0,7.4,1660,
4756,"Musketeer, The (2001)",Action|Adventure|Drama|Romance,246544,11370.0,40000000,"['Action', 'Adventure', 'Drama']",en,The Musketeer,"In Peter Hyams's adaptation of the famous Alexander Dumas story The Three Musketeers, the young D'Artagnan seeks to join the legendary musketeer brigade and avenge his father's death - but he finds that the musketeers have been disbanded.",3.296933,2001-09-07,27053815,104.0,5.2,56,
4899,Black Knight (2001),Adventure|Comedy|Fantasy,265087,11469.0,0,"['Adventure', 'Comedy', 'Fantasy']",en,Black Knight,"Martin Lawrence plays Jamal, an employee in Medieval World amusement park. After sustaining a blow to the head, he awakens to find himself in 14th century England.",15.913783,2001-11-21,0,95.0,5.1,287,
4975,Vanilla Sky (2001),Mystery|Romance|Sci-Fi|Thriller,259711,1903.0,68000000,"['Drama', 'Mystery', 'Romance', 'Science Fiction', 'Thriller']",en,Vanilla Sky,"David Aames (Tom Cruise) has it all: wealth, good looks and gorgeous women on his arm. But just as he begins falling for the warmhearted Sofia (Penelope Cruz), his face is horribly disfigured in a car accident. That's just the beginning of his troubles as the lines between illusion and reality, between life and death, are blurred.",27.299301,2001-12-10,203388341,136.0,6.5,1078,
4990,Jimmy Neutron: Boy Genius (2001),Adventure|Animation|Children|Comedy,268397,12589.0,25000000,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Science Fiction']",en,Jimmy Neutron: Boy Genius,"Jimmy Neutron is a boy genius and way ahead of his friends, but when it comes to being cool, he's a little behind. All until one day when his parents, and parents all over Earth are kidnapped by aliens, it's up to him to lead all the children of the world to rescue their parents.",12.739721,2001-12-21,80936232,83.0,5.6,231,
5064,The Count of Monte Cristo (2002),Action|Adventure|Drama|Thriller,245844,11362.0,35000000,"['Action', 'Adventure', 'Drama', 'Thriller']",en,The Count of Monte Cristo,"Edmond Dantés's life and plans to marry the beautiful Mercedes are shattered when his best friend, Fernand, deceives him. After spending 13 miserable years in prison, Dantés escapes with the help of a fellow inmate and plots his revenge, cleverly insinuating himself into the French nobility.",26.595983,2002-01-23,75395048,131.0,7.3,453,
5080,Slackers (2002),Comedy,240900,20009.0,14000000,"['Comedy', 'Romance']",en,Slackers,"Dave, Sam and Jeff are about to graduate from Holden University with honors in lying, cheating and scheming. The three roommates have proudly scammed their way through the last four years of college and now, during final exams, these big-men-on-campus are about to be busted by the most unlikely dude in school. Self-dubbed Cool Ethan, an ambitious nerd with a bad crush, enters their lives one day and everything begins to unravel.",9.371811,2002-02-01,6413915,86.0,5.4,60,
